postcodes,district,county,district_county,total,domestic,not_domestic,industry,agriculture
3750,Aveiro,Águeda,Aveiro_Águeda,0.004050426131608722,0.003462760999566318,4.088364007221586e-4,1.086064674407481e-4,7.007348789670186e-5
3754,Aveiro,Águeda,Aveiro_Águeda,0.004050426131608722,0.003462760999566318,4.088364007221586e-4,1.086064674407481e-4,7.007348789670186e-5
3850,Aveiro,Albergaria-a-Velha,Aveiro_Albergaria-a-Velha,0.00210875078014406,0.0018286056045400479,2.126008794148343e-4,4.8203418425756695e-5,1.9340877763420895e-5
3780,Aveiro,Anadia,Aveiro_Anadia,0.002566832031171544,0.002243095492608437,2.2941256547073094e-4,4.478157082145915e-5,4.9542402270916604e-5
4540,Aveiro,Arouca,Aveiro_Arouca,0.0018754700391206446,0.0016360894828026122,1.663315487654197e-4,5.549344158273842e-5,1.755556596987435e-5
3810,Aveiro,Aveiro,Aveiro_Aveiro,0.007603494152731936,0.006414178946264347,9.886164056763988e-4,1.6618277278262415e-4,3.451602800856652e-5
3800,Aveiro,Aveiro,Aveiro_Aveiro,0.007603494152731936,0.006414178946264347,9.886164056763988e-4,1.6618277278262415e-4,3.451602800856652e-5
3804,Aveiro,Aveiro,Aveiro_Aveiro,0.007603494152731936,0.006414178946264347,9.886164056763988e-4,1.6618277278262415e-4,3.451602800856652e-5
3814,Aveiro,Aveiro,Aveiro_Aveiro,0.007603494152731936,0.006414178946264347,9.886164056763988e-4,1.6618277278262415e-4,3.451602800856652e-5
3813,Aveiro,Aveiro,Aveiro_Aveiro,0.007603494152731936,0.006414178946264347,9.886164056763988e-4,1.6618277278262415e-4,3.451602800856652e-5
4550,Aveiro,Castelo de Paiva,Aveiro_Castelo de Paiva,0.001187232342708452,0.0010447049511903195,1.0607727573322383e-4,1.6365358107509988e-5,2.008475767739862e-5
4500,Aveiro,Espinho,Aveiro_Espinho,0.002754884873425113,0.00235021420022123,3.6107931024478856e-4,3.496235595695316e-5,8.62900700214163e-6
4504,Aveiro,Espinho,Aveiro_Espinho,0.002754884873425113,0.00235021420022123,3.6107931024478856e-4,3.496235595695316e-5,8.62900700214163e-6
3860,Aveiro,Estarreja,Aveiro_Estarreja,0.002143415584135422,0.0019013570601270696,1.7957261123422322e-4,4.195482714834379e-5,2.0382309642989714e-5
3864,Aveiro,Estarreja,Aveiro_Estarreja,0.002143415584135422,0.0019013570601270696,1.7957261123422322e-4,4.195482714834379e-5,2.0382309642989714e-5
3870,Aveiro,Murtosa,Aveiro_Murtosa,0.0012714395489707305,0.0011558406103385917,8.182679053754994e-5,1.9340877763420895e-5,1.4431270331167898e-5
3865,Aveiro,Estarreja,Aveiro_Estarreja,0.002143415584135422,0.0019013570601270696,1.7957261123422322e-4,4.195482714834379e-5,2.0382309642989714e-5
3830,Aveiro,Ílhavo,Aveiro_Ílhavo,0.003762544604899342,0.0033487985967449304,3.4099455256738996e-4,5.980794508380923e-5,1.2943510503212445e-5
3050,Aveiro,Mealhada,Aveiro_Mealhada,0.0017101799222347938,0.0014847843082995426,1.8611875447722723e-4,2.4548037161264984e-5,1.472882229675899e-5
3054,Aveiro,Mealhada,Aveiro_Mealhada,0.0017101799222347938,0.0014847843082995426,1.8611875447722723e-4,2.4548037161264984e-5,1.472882229675899e-5
3720,Aveiro,Oliveira de Azeméis,Aveiro_Oliveira de Azeméis,0.005252089744648342,0.0045476354661114346,4.6150309863178166e-4,1.3508859237835517e-4,1.0786258752677038e-4
3700,Aveiro,Oliveira de Azeméis,Aveiro_Oliveira de Azeméis,0.005252089744648342,0.0045476354661114346,4.6150309863178166e-4,1.3508859237835517e-4,1.0786258752677038e-4
3770,Aveiro,Oliveira do Bairro,Aveiro_Oliveira do Bairro,0.002029453181314034,0.0017283305921358503,2.1007168770731003e-4,5.9361617135422595e-5,3.168928433545116e-5
3774,Aveiro,Oliveira do Bairro,Aveiro_Oliveira do Bairro,0.002029453181314034,0.0017283305921358503,2.1007168770731003e-4,5.9361617135422595e-5,3.168928433545116e-5
3885,Aveiro,Ovar,Aveiro_Ovar,0.004787759902343445,0.004138352737440889,5.162526603005424e-4,8.584374207302966e-5,4.731076252898342e-5
3880,Aveiro,Ovar,Aveiro_Ovar,0.004787759902343445,0.004138352737440889,5.162526603005424e-4,8.584374207302966e-5,4.731076252898342e-5
3884,Aveiro,Ovar,Aveiro_Ovar,0.004787759902343445,0.004138352737440889,5.162526603005424e-4,8.584374207302966e-5,4.731076252898342e-5
4505,Aveiro,Santa Maria da Feira,Aveiro_Santa Maria da Feira,0.010707258705812604,0.009238988531603366,0.001149592019061179,2.4205852400835227e-4,7.661963113970585e-5
3700,Aveiro,Santa Maria da Feira,Aveiro_Santa Maria da Feira,0.010707258705812604,0.009238988531603366,0.001149592019061179,2.4205852400835227e-4,7.661963113970585e-5
4525,Aveiro,Santa Maria da Feira,Aveiro_Santa Maria da Feira,0.010707258705812604,0.009238988531603366,0.001149592019061179,2.4205852400835227e-4,7.661963113970585e-5
4520,Aveiro,Santa Maria da Feira,Aveiro_Santa Maria da Feira,0.010707258705812604,0.009238988531603366,0.001149592019061179,2.4205852400835227e-4,7.661963113970585e-5
4535,Aveiro,Santa Maria da Feira,Aveiro_Santa Maria da Feira,0.010707258705812604,0.009238988531603366,0.001149592019061179,2.4205852400835227e-4,7.661963113970585e-5
4500,Aveiro,Santa Maria da Feira,Aveiro_Santa Maria da Feira,0.010707258705812604,0.009238988531603366,0.001149592019061179,2.4205852400835227e-4,7.661963113970585e-5
3700,Aveiro,São João da Madeira,Aveiro_São João da Madeira,0.002004012488255996,0.0016637618156025837,2.8758397474378916e-4,4.924485030532551e-5,3.421847604297543e-6
3701,Aveiro,São João da Madeira,Aveiro_São João da Madeira,0.002004012488255996,0.0016637618156025837,2.8758397474378916e-4,4.924485030532551e-5,3.421847604297543e-6
3740,Aveiro,Sever do Vouga,Aveiro_Sever do Vouga,0.0011379874924031263,0.0010043866598527266,9.967990847301538e-5,2.55894690408338e-5,8.331455036550539e-6
3744,Aveiro,Sever do Vouga,Aveiro_Sever do Vouga,0.0011379874924031263,0.0010043866598527266,9.967990847301538e-5,2.55894690408338e-5,8.331455036550539e-6
3840,Aveiro,Vagos,Aveiro_Vagos,0.002306325285296544,0.002016658446793617,1.8641630644281832e-4,4.7459538511778966e-5,5.5790993548329505e-5
3730,Aveiro,Vale de Cambra,Aveiro_Vale de Cambra,0.001990325097838806,0.0017319012157229435,2.1379108727719867e-4,3.228438826663334e-5,1.2348406572030264e-5
3734,Aveiro,Vale de Cambra,Aveiro_Vale de Cambra,0.001990325097838806,0.0017319012157229435,2.1379108727719867e-4,3.228438826663334e-5,1.2348406572030264e-5
7600,Beja,Aljustrel,Beja_Aljustrel,8.980118321539117e-4,7.858347411260706e-4,7.825616695045685e-5,1.472882229675899e-5,1.919210178062535e-5
7604,Beja,Aljustrel,Beja_Aljustrel,8.980118321539117e-4,7.858347411260706e-4,7.825616695045685e-5,1.472882229675899e-5,1.919210178062535e-5
7700,Beja,Almodôvar,Beja_Almodôvar,8.425183905711733e-4,7.379288746659049e-4,8.346332634830095e-5,1.5472702210736716e-5,5.653487346230723e-6
7920,Beja,Alvito,Beja_Alvito,2.54258154597587e-4,2.1959335060622493e-4,2.1870069470945166e-5,5.802263329026269e-6,6.992471191390631e-6
7924,Beja,Alvito,Beja_Alvito,2.54258154597587e-4,2.1959335060622493e-4,2.1870069470945166e-5,5.802263329026269e-6,6.992471191390631e-6
7230,Beja,Barrancos,Beja_Barrancos,1.8463099464927177e-4,1.649925649202598e-4,1.4877598279554535e-5,3.273071621501998e-6,1.4877598279554534e-6
7800,Beja,Beja,Beja_Beja,0.0034190208606244277,0.002860664597192746,4.1939949550064235e-4,5.8617737221444866e-5,8.033903070959449e-5
7801,Beja,Beja,Beja_Beja,0.0034190208606244277,0.002860664597192746,4.1939949550064235e-4,5.8617737221444866e-5,8.033903070959449e-5
7780,Beja,Castro Verde,Beja_Castro Verde,7.416482742357936e-4,6.663676269412476e-4,6.025427303219587e-5,9.075334950528267e-6,5.951039311821814e-6
7940,Beja,Cuba,Beja_Cuba,4.656688261500569e-4,3.979757539780838e-4,4.8054642442961145e-5,8.777782984937175e-6,1.086064674407481e-5
7900,Beja,Ferreira do Alentejo,Beja_Ferreira do Alentejo,7.943149721454166e-4,6.57738619939106e-4,8.762905386657621e-5,1.3984942382781262e-5,3.496235595695316e-5
7750,Beja,Mértola,Beja_Mértola,0.0011897615344159762,0.0010363734961537688,1.2675713734180464e-4,1.472882229675899e-5,1.1902078623643627e-5
7754,Beja,Mértola,Beja_Mértola,0.0011897615344159762,0.0010363734961537688,1.2675713734180464e-4,1.472882229675899e-5,1.1902078623643627e-5
7885,Beja,Moura,Beja_Moura,0.0015420630616758276,0.0013443397805405477,1.3270817665362645e-4,2.306027733330953e-5,4.195482714834379e-5
7875,Beja,Moura,Beja_Moura,0.0015420630616758276,0.0013443397805405477,1.3270817665362645e-4,2.306027733330953e-5,4.195482714834379e-5
7860,Beja,Moura,Beja_Moura,0.0015420630616758276,0.0013443397805405477,1.3270817665362645e-4,2.306027733330953e-5,4.195482714834379e-5
7864,Beja,Moura,Beja_Moura,0.0015420630616758276,0.0013443397805405477,1.3270817665362645e-4,2.306027733330953e-5,4.195482714834379e-5
7630,Beja,Odemira,Beja_Odemira,0.0030158379472484996,0.0025678734630511127,3.6822055741897474e-4,3.317704416340661e-5,4.6566882615005694e-5
7665,Beja,Odemira,Beja_Odemira,0.0030158379472484996,0.0025678734630511127,3.6822055741897474e-4,3.317704416340661e-5,4.6566882615005694e-5
7645,Beja,Odemira,Beja_Odemira,0.0030158379472484996,0.0025678734630511127,3.6822055741897474e-4,3.317704416340661e-5,4.6566882615005694e-5
7670,Beja,Ourique,Beja_Ourique,6.174203286015132e-4,5.263694271306394e-4,7.423921541497713e-5,1.0265542812892629e-5,6.546143243003996e-6
7830,Beja,Serpa,Beja_Serpa,0.0015889274962564244,0.001393733406828669,1.240791696514848e-4,2.8713764679540253e-5,4.2401155096730424e-5
7960,Beja,Vidigueira,Beja_Vidigueira,5.982282268208878e-4,5.153600044037691e-4,5.266669790962305e-5,1.2645958537621355e-5,1.755556596987435e-5
4720,Braga,Amares,Braga_Amares,0.0016758126702090229,0.0015036788581145768,1.2556692947944027e-4,2.4101709212878348e-5,2.246517340212735e-5
4750,Braga,Barcelos,Braga_Barcelos,0.008380402334890274,0.00701389493291319,9.747802392764131e-4,2.4830711528576517e-4,1.4342004741490572e-4
4755,Braga,Barcelos,Braga_Barcelos,0.008380402334890274,0.00701389493291319,9.747802392764131e-4,2.4830711528576517e-4,1.4342004741490572e-4
4905,Braga,Barcelos,Braga_Barcelos,0.008380402334890274,0.00701389493291319,9.747802392764131e-4,2.4830711528576517e-4,1.4342004741490572e-4
4754,Braga,Barcelos,Braga_Barcelos,0.008380402334890274,0.00701389493291319,9.747802392764131e-4,2.4830711528576517e-4,1.4342004741490572e-4
4740,Braga,Barcelos,Braga_Barcelos,0.008380402334890274,0.00701389493291319,9.747802392764131e-4,2.4830711528576517e-4,1.4342004741490572e-4
4775,Braga,Barcelos,Braga_Barcelos,0.008380402334890274,0.00701389493291319,9.747802392764131e-4,2.4830711528576517e-4,1.4342004741490572e-4
4710,Braga,Braga,Braga_Braga,0.015697949048689173,0.01347136769017104,0.0018946621409012701,2.7642577603412326e-4,5.534466559994287e-5
4705,Braga,Braga,Braga_Braga,0.015697949048689173,0.01347136769017104,0.0018946621409012701,2.7642577603412326e-4,5.534466559994287e-5
4709,Braga,Braga,Braga_Braga,0.015697949048689173,0.01347136769017104,0.0018946621409012701,2.7642577603412326e-4,5.534466559994287e-5
4700,Braga,Braga,Braga_Braga,0.015697949048689173,0.01347136769017104,0.0018946621409012701,2.7642577603412326e-4,5.534466559994287e-5
4704,Braga,Braga,Braga_Braga,0.015697949048689173,0.01347136769017104,0.0018946621409012701,2.7642577603412326e-4,5.534466559994287e-5
4714,Braga,Braga,Braga_Braga,0.015697949048689173,0.01347136769017104,0.0018946621409012701,2.7642577603412326e-4,5.534466559994287e-5
4715,Braga,Braga,Braga_Braga,0.015697949048689173,0.01347136769017104,0.0018946621409012701,2.7642577603412326e-4,5.534466559994287e-5
4719,Braga,Braga,Braga_Braga,0.015697949048689173,0.01347136769017104,0.0018946621409012701,2.7642577603412326e-4,5.534466559994287e-5
4860,Braga,Cabeceiras de Basto,Braga_Cabeceiras de Basto,0.001577918073529554,0.0014105450928845655,1.3836166399985717e-4,2.1870069470945166e-5,7.141247174186177e-6
4615,Braga,Celorico de Basto,Braga_Celorico de Basto,0.0016399576583552963,0.0014710969178823525,1.224426338407338e-4,3.83842035612507e-5,8.03390307095945e-6
4890,Braga,Celorico de Basto,Braga_Celorico de Basto,0.0016399576583552963,0.0014710969178823525,1.224426338407338e-4,3.83842035612507e-5,8.03390307095945e-6
