postcodes,district,county,district_county,total,agriculture_animal_production_hunting_forestry_and_fishing,extractive_industries,manufacturing_industries,electricity_gas_steam_hot_and_cold_water_and_cold air,water_collection_treatment_and_distribution,construction,wholesale_and_retail_trade,transport_and_storage,accommodation_catering_and_similar,information_and_communication_activity,real_estate_activities,consulting_scientific_technical_and_similar_activities,administrative_activities_and_support_services,education,human_health_and_social_support_activities,artistic_concert_sporting_and_recreational_activities,other_service_activities
3740,Aveiro,Sever do Vouga,Aveiro_Sever do Vouga,0.0011034931890953165,1.5098235941594178e-4,1.3915424830962378e-6,1.0645299995686219e-4,4.731244442527208e-5,0,1.2871767968640198e-4,1.8368360776870336e-4,2.0873137246443565e-5,7.723060781184119e-5,1.252388234786614e-5,3.8267418285146535e-5,8.557986271041862e-5,9.60164313336404e-5,3.6875875802050296e-5,5.0791300633012674e-5,2.435199345418416e-5,4.244204573443525e-5
3744,Aveiro,Sever do Vouga,Aveiro_Sever do Vouga,0.0011034931890953165,1.5098235941594178e-4,1.3915424830962378e-6,1.0645299995686219e-4,4.731244442527208e-5,0,1.2871767968640198e-4,1.8368360776870336e-4,2.0873137246443565e-5,7.723060781184119e-5,1.252388234786614e-5,3.8267418285146535e-5,8.557986271041862e-5,9.60164313336404e-5,3.6875875802050296e-5,5.0791300633012674e-5,2.435199345418416e-5,4.244204573443525e-5
3840,Aveiro,Vagos,Aveiro_Vagos,0.0021666316461808415,1.7115972542083724e-4,1.3915424830962378e-6,1.2245573851246892e-4,2.2264679729539804e-5,3.4788562077405943e-6,2.463030195080341e-4,4.4807667955698853e-4,4.035473200979089e-5,1.551569868652305e-4,2.2264679729539804e-5,5.009552939146456e-5,1.5724430058987486e-4,3.430152220832226e-4,7.444752284564872e-5,1.516781306574899e-4,5.705324180694575e-5,1.0019105878292912e-4
3730,Aveiro,Vale de Cambra,Aveiro_Vale de Cambra,0.0018333572214792933,2.0525251625669506e-4,6.957712415481189e-7,2.581311306143521e-4,9.045026140125545e-6,1.3915424830962378e-6,1.4124156203426812e-4,3.3257865346000083e-4,2.57435359372804e-5,1.1341071237234337e-4,1.948159476334733e-5,5.14870718745608e-5,1.3150076465259447e-4,2.0942714370598378e-4,7.931792153648555e-5,1.2384728099556515e-4,2.6439307178828515e-5,1.0436568623221783e-4
3734,Aveiro,Vale de Cambra,Aveiro_Vale de Cambra,0.0018333572214792933,2.0525251625669506e-4,6.957712415481189e-7,2.581311306143521e-4,9.045026140125545e-6,1.3915424830962378e-6,1.4124156203426812e-4,3.3257865346000083e-4,2.57435359372804e-5,1.1341071237234337e-4,1.948159476334733e-5,5.14870718745608e-5,1.3150076465259447e-4,2.0942714370598378e-4,7.931792153648555e-5,1.2384728099556515e-4,2.6439307178828515e-5,1.0436568623221783e-4
7600,Beja,Aljustrel,Beja_Aljustrel,6.345433722918844e-4,1.6559355548845229e-4,1.3915424830962378e-6,3.757164704359842e-5,2.0873137246443567e-6,0,3.8267418285146535e-5,1.2454305223711328e-4,6.9577124154811885e-6,6.540249670552317e-5,6.26194117393307e-6,6.9577124154811885e-6,3.896318952669466e-5,5.7749013048493864e-5,2.7830849661924754e-5,2.1568908487991684e-5,9.045026140125545e-6,2.435199345418416e-5
7604,Beja,Aljustrel,Beja_Aljustrel,6.345433722918844e-4,1.6559355548845229e-4,1.3915424830962378e-6,3.757164704359842e-5,2.0873137246443567e-6,0,3.8267418285146535e-5,1.2454305223711328e-4,6.9577124154811885e-6,6.540249670552317e-5,6.26194117393307e-6,6.9577124154811885e-6,3.896318952669466e-5,5.7749013048493864e-5,2.7830849661924754e-5,2.1568908487991684e-5,9.045026140125545e-6,2.435199345418416e-5
7700,Beja,Almodôvar,Beja_Almodôvar,6.046252089053153e-4,1.9829480384121387e-4,0,2.296045097108792e-5,2.7830849661924755e-6,0,4.3833588217531485e-5,9.184180388435168e-5,7.653483657029307e-6,6.748981043016753e-5,4.1746274492887135e-6,8.349254898577427e-6,2.991816338656911e-5,3.4092790835857824e-5,2.0177366004895445e-5,2.504776469573228e-5,9.740797381673664e-6,3.8267418285146535e-5
7920,Beja,Alvito,Beja_Alvito,2.1638485612146495e-4,6.192364049778257e-5,0,1.1132339864769902e-5,4.870398690836832e-6,0,1.4611196072510495e-5,2.7135078420376635e-5,2.0873137246443567e-6,2.0873137246443565e-5,2.7830849661924755e-6,3.4788562077405943e-6,1.1132339864769902e-5,2.296045097108792e-5,6.9577124154811885e-6,9.740797381673664e-6,6.9577124154811885e-6,9.740797381673664e-6
7924,Beja,Alvito,Beja_Alvito,2.1638485612146495e-4,6.192364049778257e-5,0,1.1132339864769902e-5,4.870398690836832e-6,0,1.4611196072510495e-5,2.7135078420376635e-5,2.0873137246443567e-6,2.0873137246443565e-5,2.7830849661924755e-6,3.4788562077405943e-6,1.1132339864769902e-5,2.296045097108792e-5,6.9577124154811885e-6,9.740797381673664e-6,6.9577124154811885e-6,9.740797381673664e-6
7230,Beja,Barrancos,Beja_Barrancos,1.8298783652715526e-4,1.0158260126602535e-4,0,5.566169932384951e-6,0,6.957712415481189e-7,4.870398690836832e-6,2.57435359372804e-5,1.3915424830962378e-6,1.3219653589414257e-5,0,6.957712415481189e-7,6.9577124154811885e-6,1.0436568623221782e-5,3.4788562077405943e-6,3.4788562077405943e-6,1.3915424830962378e-6,3.4788562077405943e-6
7800,Beja,Beja,Beja_Beja,0.0034051044561364935,8.815421630414665e-4,0,1.2523882347866138e-4,7.653483657029307e-6,3.4788562077405943e-6,1.6141892803916356e-4,5.09304548813223e-4,4.035473200979089e-5,2.463030195080341e-4,2.7830849661924754e-5,5.705324180694575e-5,2.7065501296221823e-4,3.1448860117974973e-4,2.2751719598623486e-4,3.0753088876426854e-4,9.9495287541381e-5,1.2523882347866138e-4
7801,Beja,Beja,Beja_Beja,0.0034051044561364935,8.815421630414665e-4,0,1.2523882347866138e-4,7.653483657029307e-6,3.4788562077405943e-6,1.6141892803916356e-4,5.09304548813223e-4,4.035473200979089e-5,2.463030195080341e-4,2.7830849661924754e-5,5.705324180694575e-5,2.7065501296221823e-4,3.1448860117974973e-4,2.2751719598623486e-4,3.0753088876426854e-4,9.9495287541381e-5,1.2523882347866138e-4
7780,Beja,Castro Verde,Beja_Castro Verde,5.698366468279093e-4,1.4054579079272e-4,6.957712415481189e-7,2.922239214502099e-5,5.566169932384951e-6,0,3.339701959430971e-5,8.627563395196674e-5,9.740797381673664e-6,5.91405555315901e-5,4.870398690836832e-6,7.653483657029307e-6,3.757164704359842e-5,6.540249670552317e-5,1.878582352179921e-5,2.991816338656911e-5,1.3915424830962377e-5,2.7135078420376635e-5
7940,Beja,Cuba,Beja_Cuba,4.480766795569885e-4,1.2732613720330574e-4,0,2.296045097108792e-5,0,6.957712415481189e-7,2.7135078420376635e-5,5.4965928082301385e-5,8.349254898577427e-6,3.4092790835857824e-5,2.0873137246443567e-6,1.4611196072510495e-5,2.6439307178828515e-5,5.705324180694575e-5,2.0177366004895445e-5,2.6439307178828515e-5,9.045026140125545e-6,1.6698509797154854e-5
7900,Beja,Ferreira do Alentejo,Beja_Ferreira do Alentejo,7.806553330169893e-4,3.1309705869665347e-4,6.957712415481189e-7,2.7135078420376635e-5,6.957712415481189e-7,1.3915424830962378e-6,3.6875875802050296e-5,1.1967265354627644e-4,2.7135078420376635e-5,5.983632677313822e-5,2.0873137246443567e-6,1.809005228025109e-5,3.061393462811723e-5,6.748981043016753e-5,1.5306967314058615e-5,2.991816338656911e-5,1.1132339864769902e-5,1.948159476334733e-5
7750,Beja,Mértola,Beja_Mértola,5.893182415912567e-4,1.732470391454816e-4,0,2.435199345418416e-5,1.3915424830962378e-6,0,4.6616673183723964e-5,1.0436568623221783e-4,7.653483657029307e-6,7.862215029493743e-5,6.26194117393307e-6,7.653483657029307e-6,3.478856207740594e-5,5.0791300633012674e-5,1.0436568623221782e-5,1.5306967314058615e-5,9.740797381673664e-6,1.809005228025109e-5
7754,Beja,Mértola,Beja_Mértola,5.893182415912567e-4,1.732470391454816e-4,0,2.435199345418416e-5,1.3915424830962378e-6,0,4.6616673183723964e-5,1.0436568623221783e-4,7.653483657029307e-6,7.862215029493743e-5,6.26194117393307e-6,7.653483657029307e-6,3.478856207740594e-5,5.0791300633012674e-5,1.0436568623221782e-5,1.5306967314058615e-5,9.740797381673664e-6,1.809005228025109e-5
7885,Beja,Moura,Beja_Moura,0.0014367676137968656,5.830563004173236e-4,2.0873137246443567e-6,5.357438559920515e-5,4.1746274492887135e-6,2.0873137246443567e-6,4.105050325133901e-5,2.1568908487991684e-4,1.252388234786614e-5,1.1549802609698773e-4,4.1746274492887135e-6,2.1568908487991684e-5,7.653483657029307e-5,1.106276274061509e-4,7.583906532874495e-5,5.91405555315901e-5,2.296045097108792e-5,3.618010456050218e-5
7875,Beja,Moura,Beja_Moura,0.0014367676137968656,5.830563004173236e-4,2.0873137246443567e-6,5.357438559920515e-5,4.1746274492887135e-6,2.0873137246443567e-6,4.105050325133901e-5,2.1568908487991684e-4,1.252388234786614e-5,1.1549802609698773e-4,4.1746274492887135e-6,2.1568908487991684e-5,7.653483657029307e-5,1.106276274061509e-4,7.583906532874495e-5,5.91405555315901e-5,2.296045097108792e-5,3.618010456050218e-5
7860,Beja,Moura,Beja_Moura,0.0014367676137968656,5.830563004173236e-4,2.0873137246443567e-6,5.357438559920515e-5,4.1746274492887135e-6,2.0873137246443567e-6,4.105050325133901e-5,2.1568908487991684e-4,1.252388234786614e-5,1.1549802609698773e-4,4.1746274492887135e-6,2.1568908487991684e-5,7.653483657029307e-5,1.106276274061509e-4,7.583906532874495e-5,5.91405555315901e-5,2.296045097108792e-5,3.618010456050218e-5
7864,Beja,Moura,Beja_Moura,0.0014367676137968656,5.830563004173236e-4,2.0873137246443567e-6,5.357438559920515e-5,4.1746274492887135e-6,2.0873137246443567e-6,4.105050325133901e-5,2.1568908487991684e-4,1.252388234786614e-5,1.1549802609698773e-4,4.1746274492887135e-6,2.1568908487991684e-5,7.653483657029307e-5,1.106276274061509e-4,7.583906532874495e-5,5.91405555315901e-5,2.296045097108792e-5,3.618010456050218e-5
7630,Beja,Odemira,Beja_Odemira,0.002921543443260551,7.938749866064036e-4,0,9.462488885054416e-5,4.870398690836832e-6,0,1.9481594763347328e-4,3.9032766650849465e-4,1.0227837250757347e-4,4.2998662727673743e-4,1.6698509797154854e-5,6.818558167171565e-5,1.6420201300535605e-4,3.2562094104451964e-4,7.583906532874495e-5,8.279677774422614e-5,6.401095422242694e-5,1.1341071237234337e-4
