postcodes,district,county,district_county,agriculture_animal_production_hunting_forestry_and_fishing,extractive_industries,manufacturing_industries,electricity_gas_steam_hot_and_cold_water_and_cold air,water_collection_treatment_and_distribution,construction,wholesale_and_retail_trade,transport_and_storage,accommodation_catering_and_similar,information_and_communication_activity,real_estate_activities,consulting_scientific_technical_and_similar_activities,administrative_activities_and_support_services,education,human_health_and_social_support_activities,artistic_concert_sporting_and_recreational_activities,other_service_activities
3750,Aveiro,Águeda,Aveiro_Águeda,0.05573328843239603,0.0010102710894089916,0.12392658696750296,0.010439467923892911,0.0010102710894089916,0.0932816972554302,0.2022225963966998,0.013301902677218386,0.053375989223775046,0.011618117528203402,0.027950833473648764,0.08570466408486278,0.14598417241959927,0.037885165852837174,0.061289779424145485,0.02845596901835326,0.04680922714261661
3754,Aveiro,Águeda,Aveiro_Águeda,0.05573328843239603,0.0010102710894089916,0.12392658696750296,0.010439467923892911,0.0010102710894089916,0.0932816972554302,0.2022225963966998,0.013301902677218386,0.053375989223775046,0.011618117528203402,0.027950833473648764,0.08570466408486278,0.14598417241959927,0.037885165852837174,0.061289779424145485,0.02845596901835326,0.04680922714261661
3850,Aveiro,Albergaria-a-Velha,Aveiro_Albergaria-a-Velha,0.08588750421017179,3.368137420006737e-4,0.0906028965981812,0.005389019872010779,0.001010441226002021,0.08386662175816774,0.209498147524419,0.018861569552037726,0.05658470865611317,0.014819804648029641,0.029976423038059953,0.08757157292017514,0.1391040754462782,0.04311215897608623,0.06298416975412598,0.025597844392051195,0.044796227686089596
3780,Aveiro,Anadia,Aveiro_Anadia,0.145723601705543,0,0.0963130173062453,0.01128668171557562,0.0015048908954100827,0.09330323551542513,0.16177577125658388,0.014547278655630798,0.04815650865312265,0.00802608477552044,0.024830699774266364,0.09079508402307498,0.13393528969149734,0.03586656634060697,0.07022824178580386,0.024078254326561323,0.039628793579132175
4540,Aveiro,Arouca,Aveiro_Arouca,0.15986521901909395,0.0011231748408835644,0.09359790340696368,0.004867090977162112,7.487832272557095e-4,0.13216023961063272,0.14451516286035193,0.024335454885810556,0.07487832272557095,0.007487832272557095,0.018345189067764882,0.06102583302134032,0.12017970797454136,0.02845376263571696,0.06327218270310746,0.019468363908648447,0.04567577686259828
3810,Aveiro,Aveiro,Aveiro_Aveiro,0.028996865203761765,6.095437129919891e-4,0.048153953326367134,0.007227446882619298,6.966213862765589e-4,0.05729710902124697,0.15134099616858243,0.0254266805990944,0.06870428422152562,0.029780564263322894,0.042668059909439233,0.1293974225008708,0.17720306513409967,0.06583072100313482,0.08394287704632535,0.03204458376872171,0.05067920585161966
3800,Aveiro,Aveiro,Aveiro_Aveiro,0.028996865203761765,6.095437129919891e-4,0.048153953326367134,0.007227446882619298,6.966213862765589e-4,0.05729710902124697,0.15134099616858243,0.0254266805990944,0.06870428422152562,0.029780564263322894,0.042668059909439233,0.1293974225008708,0.17720306513409967,0.06583072100313482,0.08394287704632535,0.03204458376872171,0.05067920585161966
3804,Aveiro,Aveiro,Aveiro_Aveiro,0.028996865203761765,6.095437129919891e-4,0.048153953326367134,0.007227446882619298,6.966213862765589e-4,0.05729710902124697,0.15134099616858243,0.0254266805990944,0.06870428422152562,0.029780564263322894,0.042668059909439233,0.1293974225008708,0.17720306513409967,0.06583072100313482,0.08394287704632535,0.03204458376872171,0.05067920585161966
3814,Aveiro,Aveiro,Aveiro_Aveiro,0.028996865203761765,6.095437129919891e-4,0.048153953326367134,0.007227446882619298,6.966213862765589e-4,0.05729710902124697,0.15134099616858243,0.0254266805990944,0.06870428422152562,0.029780564263322894,0.042668059909439233,0.1293974225008708,0.17720306513409967,0.06583072100313482,0.08394287704632535,0.03204458376872171,0.05067920585161966
3813,Aveiro,Aveiro,Aveiro_Aveiro,0.028996865203761765,6.095437129919891e-4,0.048153953326367134,0.007227446882619298,6.966213862765589e-4,0.05729710902124697,0.15134099616858243,0.0254266805990944,0.06870428422152562,0.029780564263322894,0.042668059909439233,0.1293974225008708,0.17720306513409967,0.06583072100313482,0.08394287704632535,0.03204458376872171,0.05067920585161966
