year,month,date,postcodes,energy_kwh,energy_normalized
2023,8,2023-08,1300,10606065.091,0.5432994353976938
2023,9,2023-09,1300,10312173.178,0.4103132057952485
2023,10,2023-10,1300,10695210.314,0.5836376909584688
2023,11,2023-11,1300,10439238.07,0.4678101295092467
2023,12,2023-12,1300,11615347.052,1
2023,1,2023-01,1349,59636.29,1
2023,2,2023-02,1349,53815.674,0.6327748926879275
2023,3,2023-03,1349,50843.746,0.4452747073598191
2023,4,2023-04,1349,43786.023,0
2023,5,2023-05,1349,44662.171,0.05527654518374997
2023,6,2023-06,1349,45151.096,0.08612302871617221
2023,7,2023-07,1349,47829.612,0.25511172777089497
2023,8,2023-08,1349,48126.549,0.2738456077743042
2023,9,2023-09,1349,44773.272,0.062285953921154526
2023,10,2023-10,1349,45305.116,0.09584021518375689
2023,11,2023-11,1349,45678.185,0.11937729503231691
2023,12,2023-12,1349,50769.266,0.4405757328882852
2023,1,2023-01,1350,8450748.307,1
2023,2,2023-02,1350,7740899.107,0.6141926499196644
2023,3,2023-03,1350,7581681.556,0.5276569442548688
2023,4,2023-04,1350,6610842.458,0
2023,5,2023-05,1350,6945570.977,0.18192698239528246
2023,6,2023-06,1350,7040403.595,0.233469086058653
2023,7,2023-07,1350,7259255.448,0.3524163969327107
2023,8,2023-08,1350,7164284.478,0.30079909811733
2023,9,2023-09,1350,6968858.29,0.19458377840071767
2023,10,2023-10,1350,7374823.954,0.4152285816229285
2023,11,2023-11,1350,7383034.496,0.4196910610505921
2023,12,2023-12,1350,8341818.334,0.9407958983014243
2023,1,2023-01,1400,7815507.759,1
2023,2,2023-02,1400,7023560.561,0.6008751430208344
2023,3,2023-03,1400,6840732.559,0.5087336462969122
2023,4,2023-04,1400,5831298.597,0
2023,5,2023-05,1400,5954128.179,0.06190354542874523
2023,6,2023-06,1400,6015998.203,0.09308474607275286
2023,7,2023-07,1400,6346112.822,0.25945562335832
2023,8,2023-08,1400,6280430.154,0.22635292972203308
2023,9,2023-09,1400,6171291.046,0.17134909741939802
2023,10,2023-10,1400,6521499.983,0.347847091535605
2023,11,2023-11,1400,6735064.009,0.45547890278313297
2023,12,2023-12,1400,7712925.986,0.94830092766198
2023,1,2023-01,1495,8326071.096,1
2023,2,2023-02,1495,7425657.152,0.5025947812552148
2023,3,2023-03,1495,7404028.106,0.4906464985475105
2023,4,2023-04,1495,6515848.947,0
2023,5,2023-05,1495,6797844.553,0.15577955786022182
2023,6,2023-06,1495,6778001.058,0.14481764635617683
2023,7,2023-07,1495,7019258.681,0.27809279335030396
2023,8,2023-08,1495,6786593.776,0.1495644217752856
2023,9,2023-09,1495,6619549.055,0.05728584641243388
2023,10,2023-10,1495,7017546.679,0.27714705196660355
2023,11,2023-11,1495,7086845.84,0.3154291827196067
2023,12,2023-12,1495,8199811.969,0.9302521366950746
2023,1,2023-01,1500,27963490.852,0.7058977069649413
2023,2,2023-02,1500,27192027.015,0.5968223757851047
2023,3,2023-03,1500,26099984.343,0.4424212095890102
2023,4,2023-04,1500,22970844.507,0
2023,5,2023-05,1500,24033526.361,0.1502499140006388
2023,6,2023-06,1500,24586305.922,0.22840602553010156
2023,7,2023-07,1500,26047653.311,0.4350222566211313
2023,8,2023-08,1500,28515899.435,0.7840013668482351
2023,9,2023-09,1500,27492682.757,0.6393313348016364
2023,10,2023-10,1500,28381180.417,0.7649537837992162
2023,11,2023-11,1500,27610095.761,0.6559320640670829
2023,12,2023-12,1500,30043606.319,1
2023,1,2023-01,1600,28372416.841,0.9637099656339037
2023,2,2023-02,1600,25823219.26,0.5374878551474928
2023,3,2023-03,1600,25613950.777,0.5024984705868965
2023,4,2023-04,1600,22608550.883,0
2023,5,2023-05,1600,23776411.625,0.19526460950673005
2023,6,2023-06,1600,24464089.484,0.3102433426509764
2023,7,2023-07,1600,25334148.129,0.45571587670750674
2023,8,2023-08,1600,25781684.681,0.5305433342317778
2023,9,2023-09,1600,24815013.022,0.3689172454117989
2023,10,2023-10,1600,26102923.675,0.5842540246128273
2023,11,2023-11,1600,25530657.385,0.4885719371583325
2023,12,2023-12,1600,28589464.398,1
2023,1,2023-01,1675,3533832.218,0.8541216545473322
2023,2,2023-02,1675,3171347.615,0.5144751581009865
2023,3,2023-03,1675,3074338.044,0.42357761200048893
2023,4,2023-04,1675,2622278.729,0
2023,5,2023-05,1675,2666628.912,0.04155592857748047
2023,6,2023-06,1675,2645090.482,0.021374513345190093
2023,7,2023-07,1675,2737823.82,0.10826524772343016
2023,8,2023-08,1675,2703881.177,0.0764611388601387
2023,9,2023-09,1675,2689947.567,0.06340540689198698
2023,10,2023-10,1675,2907357.773,0.2671178243255585
2023,11,2023-11,1675,3056567.121,0.40692633444107235
2023,12,2023-12,1675,3689519.542,1
2023,1,2023-01,1685,5215979.614,0.8596073677231982
2023,2,2023-02,1685,4625097.718,0.4434860324270484
2023,3,2023-03,1685,4599365.885,0.4253647043239823
2023,4,2023-04,1685,3995358.636,0
2023,5,2023-05,1685,4063100.681,0.04770650516104465
2023,6,2023-06,1685,4001088.398,0.004035114682831952
2023,7,2023-07,1685,4068784.402,0.05170919603375795
2023,8,2023-08,1685,4088959.989,0.06591760597093389
2023,9,2023-09,1685,4085905.649,0.06376662445017263
2023,10,2023-10,1685,4439892.744,0.3130576987683558
2023,11,2023-11,1685,4647401.097,0.4591929138087992
2023,12,2023-12,1685,5415333.643,1
2023,1,2023-01,1700,21804492.188,1
2023,2,2023-02,1700,19712930.219,0.28807448613850484
2023,3,2023-03,1700,20372481.965,0.5125725993422909
2023,4,2023-04,1700,18866597.804,0
2023,5,2023-05,1700,19295652.742,0.14604164817382942
2023,6,2023-06,1700,20005529.082,0.38766923828259625
2023,7,2023-07,1700,20973862.451,0.7172703887778697
2023,8,2023-08,1700,21222951.287,0.8020552051948779
2023,9,2023-09,1700,19985627.992,0.38089530859050696
2023,10,2023-10,1700,20685351.927,0.6190672247801268
2023,11,2023-11,1700,19730902.603,0.294191923204275
2023,12,2023-12,1700,21539187.95,0.9096957877570857
2023,1,2023-01,1749,81.678,0.9774737802097583
2023,2,2023-02,1749,71.643,0.7486776105791154
2023,3,2023-03,1749,58.873,0.45752393980848155
2023,4,2023-04,1749,38.806,0
2023,5,2023-05,1749,81.065,0.9634974920200639
2023,6,2023-06,1749,78.935,0.9149338805289559
2023,7,2023-07,1749,81.872,0.9818969448244415
2023,8,2023-08,1749,81.032,0.9627450980392157
2023,9,2023-09,1749,74.596,0.8160054719562245
2023,10,2023-10,1749,77.984,0.8932512539899681
2023,11,2023-11,1749,77.85,0.8901960784313725
2023,12,2023-12,1749,82.666,1
2023,1,2023-01,1750,9808684.324,1
2023,2,2023-02,1750,8842300.266,0.6404205557407396
