postcodes,district,county,district_county
5374,Bragança,Mirandela,Bragança_Mirandela
5200,Bragança,Mogadouro,Bragança_Mogadouro
5350,Bragança,Mogadouro,Bragança_Mogadouro
5204,Bragança,Mogadouro,Bragança_Mogadouro
5160,Bragança,Torre de Moncorvo,Bragança_Torre de Moncorvo
5164,Bragança,Torre de Moncorvo,Bragança_Torre de Moncorvo
5360,Bragança,Vila Flor,Bragança_Vila Flor
5230,Bragança,Vimioso,Bragança_Vimioso
5335,Bragança,Vinhais,Bragança_Vinhais
5320,Bragança,Vinhais,Bragança_Vinhais
6250,Castelo Branco,Belmonte,Castelo Branco_Belmonte
6005,Castelo Branco,Castelo Branco,Castelo Branco_Castelo Branco
6000,Castelo Branco,Castelo Branco,Castelo Branco_Castelo Branco
6004,Castelo Branco,Castelo Branco,Castelo Branco_Castelo Branco
6225,Castelo Branco,Covilhã,Castelo Branco_Covilhã
6200,Castelo Branco,Covilhã,Castelo Branco_Covilhã
6215,Castelo Branco,Covilhã,Castelo Branco_Covilhã
6201,Castelo Branco,Covilhã,Castelo Branco_Covilhã
6230,Castelo Branco,Covilhã,Castelo Branco_Covilhã
6230,Castelo Branco,Fundão,Castelo Branco_Fundão
6185,Castelo Branco,Fundão,Castelo Branco_Fundão
6005,Castelo Branco,Fundão,Castelo Branco_Fundão
6060,Castelo Branco,Idanha-a-Nova,Castelo Branco_Idanha-a-Nova
6160,Castelo Branco,Oleiros,Castelo Branco_Oleiros
6185,Castelo Branco,Oleiros,Castelo Branco_Oleiros
6090,Castelo Branco,Penamacor,Castelo Branco_Penamacor
6320,Castelo Branco,Penamacor,Castelo Branco_Penamacor
6150,Castelo Branco,Proença-a-Nova,Castelo Branco_Proença-a-Nova
6100,Castelo Branco,Sertã,Castelo Branco_Sertã
6110,Castelo Branco,Vila de Rei,Castelo Branco_Vila de Rei
6030,Castelo Branco,Vila Velha de Ródão,Castelo Branco_Vila Velha de Ródão
3305,Coimbra,Arganil,Coimbra_Arganil
3300,Coimbra,Arganil,Coimbra_Arganil
3060,Coimbra,Cantanhede,Coimbra_Cantanhede
3064,Coimbra,Cantanhede,Coimbra_Cantanhede
3040,Coimbra,Coimbra,Coimbra_Coimbra
3045,Coimbra,Coimbra,Coimbra_Coimbra
3025,Coimbra,Coimbra,Coimbra_Coimbra
3020,Coimbra,Coimbra,Coimbra_Coimbra
3030,Coimbra,Coimbra,Coimbra_Coimbra
3044,Coimbra,Coimbra,Coimbra_Coimbra
3004,Coimbra,Coimbra,Coimbra_Coimbra
3000,Coimbra,Coimbra,Coimbra_Coimbra
3034,Coimbra,Coimbra,Coimbra_Coimbra
3049,Coimbra,Coimbra,Coimbra_Coimbra
3020,Aveiro,Mealhada,Aveiro_Mealhada
3048,Coimbra,Coimbra,Coimbra_Coimbra
3150,Coimbra,Condeixa-a-Nova,Coimbra_Condeixa-a-Nova
3154,Coimbra,Condeixa-a-Nova,Coimbra_Condeixa-a-Nova
3090,Coimbra,Figueira da Foz,Coimbra_Figueira da Foz
3080,Coimbra,Figueira da Foz,Coimbra_Figueira da Foz
3094,Coimbra,Figueira da Foz,Coimbra_Figueira da Foz
3084,Coimbra,Figueira da Foz,Coimbra_Figueira da Foz
3330,Coimbra,Góis,Coimbra_Góis
3334,Coimbra,Góis,Coimbra_Góis
3200,Coimbra,Lousã,Coimbra_Lousã
3070,Coimbra,Mira,Coimbra_Mira
3074,Coimbra,Mira,Coimbra_Mira
3220,Coimbra,Miranda do Corvo,Coimbra_Miranda do Corvo
3140,Coimbra,Montemor-o-Velho,Coimbra_Montemor-o-Velho
3144,Coimbra,Montemor-o-Velho,Coimbra_Montemor-o-Velho
3400,Coimbra,Oliveira do Hospital,Coimbra_Oliveira do Hospital
3405,Coimbra,Oliveira do Hospital,Coimbra_Oliveira do Hospital
3404,Coimbra,Oliveira do Hospital,Coimbra_Oliveira do Hospital
3320,Coimbra,Pampilhosa da Serra,Coimbra_Pampilhosa da Serra
3360,Coimbra,Penacova,Coimbra_Penacova
3230,Coimbra,Penela,Coimbra_Penela
3234,Coimbra,Penela,Coimbra_Penela
3130,Coimbra,Soure,Coimbra_Soure
3420,Coimbra,Tábua,Coimbra_Tábua
3350,Coimbra,Vila Nova de Poiares,Coimbra_Vila Nova de Poiares
7250,Évora,Alandroal,Évora_Alandroal
7154,Évora,Borba,Évora_Borba
7200,Évora,Alandroal,Évora_Alandroal
7040,Évora,Arraiolos,Évora_Arraiolos
7150,Évora,Borba,Évora_Borba
7100,Évora,Estremoz,Évora_Estremoz
7005,Évora,Évora,Évora_Évora
7000,Évora,Évora,Évora_Évora
7004,Évora,Évora,Évora_Évora
7009,Évora,Évora,Évora_Évora
7200,Évora,Évora,Évora_Évora
7050,Évora,Montemor-o-Novo,Évora_Montemor-o-Novo
7490,Évora,Mora,Évora_Mora
7240,Évora,Mourão,Évora_Mourão
7244,Évora,Mourão,Évora_Mourão
7220,Évora,Portel,Évora_Portel
7200,Évora,Redondo,Évora_Redondo
7170,Évora,Redondo,Évora_Redondo
7200,Évora,Reguengos de Monsaraz,Évora_Reguengos de Monsaraz
2965,Évora,Vendas Novas,Évora_Vendas Novas
7080,Évora,Vendas Novas,Évora_Vendas Novas
7090,Évora,Viana do Alentejo,Évora_Viana do Alentejo
7160,Évora,Vila Viçosa,Évora_Vila Viçosa
8200,Faro,Albufeira,Faro_Albufeira
8201,Faro,Albufeira,Faro_Albufeira
8203,Faro,Albufeira,Faro_Albufeira
8970,Faro,Alcoutim,Faro_Alcoutim
8670,Faro,Aljezur,Faro_Aljezur
8950,Faro,Castro Marim,Faro_Castro Marim
8954,Faro,Castro Marim,Faro_Castro Marim
8009,Faro,Faro,Faro_Faro
8005,Faro,Faro,Faro_Faro
8000,Faro,Faro,Faro_Faro
8004,Faro,Faro,Faro_Faro
8400,Faro,Lagoa,Faro_Lagoa 
8401,Faro,Lagoa,Faro_Lagoa 
8600,Faro,Lagos,Faro_Lagos
8601,Faro,Lagos,Faro_Lagos
8604,Faro,Lagos,Faro_Lagos
8135,Faro,Loulé,Faro_Loulé
8100,Faro,Loulé,Faro_Loulé
8136,Faro,Loulé,Faro_Loulé
8104,Faro,Loulé,Faro_Loulé
8125,Faro,Loulé,Faro_Loulé
8550,Faro,Monchique,Faro_Monchique
8700,Faro,Olhão,Faro_Olhão
8500,Faro,Portimão,Faro_Portimão
8501,Faro,Portimão,Faro_Portimão
8150,Faro,São Brás de Alportel,Faro_São Brás de Alportel
8365,Faro,Silves,Faro_Silves
8375,Faro,Silves,Faro_Silves
8300,Faro,Silves,Faro_Silves
8800,Faro,Tavira,Faro_Tavira
8801,Faro,Tavira,Faro_Tavira
8804,Faro,Tavira,Faro_Tavira
8650,Faro,Vila do Bispo,Faro_Vila do Bispo
8900,Faro,Vila Real de Santo António,Faro_Vila Real de Santo António
3570,Guarda,Aguiar da Beira,Guarda_Aguiar da Beira
6355,Guarda,Almeida,Guarda_Almeida
6350,Guarda,Almeida,Guarda_Almeida
6360,Guarda,Celorico da Beira,Guarda_Celorico da Beira
6440,Guarda,Figueira de Castelo Rodrigo,Guarda_Figueira de Castelo Rodrigo
6370,Guarda,Fornos de Algodres,Guarda_Fornos de Algodres
6290,Guarda,Gouveia,Guarda_Gouveia
6294,Guarda,Gouveia,Guarda_Gouveia
6300,Guarda,Guarda,Guarda_Guarda
6301,Guarda,Guarda,Guarda_Guarda
