Year;Month;Date;Zip Code;Active Energy (kWh)
2023;3;2023-03;5445;785738.417
2023;3;2023-03;6030;10128684.932
2023;3;2023-03;6050;1534568.739
2023;3;2023-03;6060;2456378.023
2023;3;2023-03;6090;1137924.555
2023;3;2023-03;6100;4976275.038
2023;3;2023-03;6120;2052036.594
2023;3;2023-03;6150;1898543.255
2023;3;2023-03;6185;311158.798
2023;3;2023-03;6250;1433556.771
2023;3;2023-03;6320;2610968.441
2023;3;2023-03;6350;559992.523
2023;3;2023-03;6360;1495374.372
2023;3;2023-03;6430;1020265.866
2023;3;2023-03;7000;6210651.55
2023;3;2023-03;7040;2190493.839
2023;3;2023-03;7100;4000477.665
2023;3;2023-03;7150;1866835.665
2023;3;2023-03;7300;10452964.113
2023;3;2023-03;7320;1399706.671
2023;3;2023-03;7330;929160.201
2023;3;2023-03;7350;5622181.49
2023;3;2023-03;7430;947290.121
2023;3;2023-03;7450;970716.204
2023;3;2023-03;7460;872523.98
2023;3;2023-03;7470;1510443.859
2023;3;2023-03;7500;2192517.05
2023;3;2023-03;7565;2800072.44
2023;3;2023-03;7570;6432284.445
2023;3;2023-03;7580;5200660.196
2023;3;2023-03;7645;1435753.522
2023;3;2023-03;7800;11470586.32
2023;3;2023-03;8135;12057426.953
2023;3;2023-03;8400;11768738.422
2023;3;2023-03;8550;1789959.846
2023;3;2023-03;8670;2247893.557
2023;4;2023-04;1000;10159870.452
2023;4;2023-04;1500;22970844.507
2023;4;2023-04;1685;3995358.636
2023;4;2023-04;2050;10782560.112
2023;4;2023-04;2080;5489012.479
2023;4;2023-04;2205;5198862.543
2023;4;2023-04;2420;6615394.389
2023;4;2023-04;2440;4279080.839
2023;4;2023-04;2510;5092188.096
2023;4;2023-04;2525;2606202.091
2023;4;2023-04;2550;3204910.606
2023;4;2023-04;2580;17979120.899
2023;4;2023-04;2615;10529586.441
2023;4;2023-04;2625;23331763.793
2023;4;2023-04;2700;17279334.464
2023;4;2023-04;2750;13189098.956
2023;4;2023-04;2774;321.845
2023;4;2023-04;2780;7724428.163
2023;4;2023-04;2820;6479466.818
2023;4;2023-04;2835;8940344.649
2023;4;2023-04;2860;6942960.739
2023;4;2023-04;2890;6689271.582
2023;4;2023-04;2975;3802180.082
2023;4;2023-04;3040;6497438.395
2023;4;2023-04;3105;8605841.632
2023;4;2023-04;3270;1086850.234
2023;4;2023-04;3320;842696.561
2023;4;2023-04;3350;1745248.451
2023;4;2023-04;3420;2462975.482
2023;4;2023-04;3514;7395.35
2023;4;2023-04;3550;1259658.025
2023;4;2023-04;3600;2706892.074
2023;4;2023-04;3610;1499218.321
2023;4;2023-04;3670;1971311.536
2023;4;2023-04;3700;17165383.063
2023;4;2023-04;3770;9987169.787
2023;4;2023-04;3830;16067577.517
2023;4;2023-04;3880;13107966.955
2023;4;2023-04;3885;11696960.051
2023;4;2023-04;4099;8852.589
2023;4;2023-04;4150;14961938.322
2023;4;2023-04;4445;10339255.705
2023;4;2023-04;4480;12138641.576
2023;4;2023-04;4490;8411514.207
2023;4;2023-04;4495;2718467.374
2023;4;2023-04;4525;3575138.999
2023;4;2023-04;4560;11804305.706
2023;4;2023-04;4570;3425212.191
2023;4;2023-04;4580;9657467.525
2023;4;2023-04;4585;9121231.159
2023;4;2023-04;4630;4212709.826
2023;4;2023-04;4640;2582062.58
2023;4;2023-04;4770;17324234.577
2023;4;2023-04;4815;14007072.703
2023;4;2023-04;4840;773813.647
2023;4;2023-04;4930;4303024.446
2023;4;2023-04;4940;2075475.518
2023;4;2023-04;4970;7600120.981
2023;4;2023-04;5060;1047659.342
2023;4;2023-04;5110;1573575.261
2023;4;2023-04;5155;429987.377
2023;4;2023-04;5320;1047149.379
2023;4;2023-04;5360;1583249.76
2023;4;2023-04;5370;4199314.801
2023;4;2023-04;6030;9878850.168
2023;4;2023-04;6120;1876458.48
2023;4;2023-04;6230;6903919.59
2023;4;2023-04;6260;757541.252
2023;4;2023-04;6290;2510379.852
2023;4;2023-04;6430;891198.813
2023;4;2023-04;7005;15591868.664
2023;4;2023-04;7150;1644715.804
2023;4;2023-04;7170;1224802.532
2023;4;2023-04;7240;663669.731
2023;4;2023-04;7300;8964562.151
2023;4;2023-04;7370;4062181.672
2023;4;2023-04;7540;3054602.06
2023;4;2023-04;7580;5281028.745
2023;4;2023-04;7645;1309173.271
2023;4;2023-04;7750;1220109.633
2023;4;2023-04;7860;2947082.689
2023;4;2023-04;8005;12106503.155
2023;5;2023-05;1000;10810723.143
2023;5;2023-05;1300;9898428.752
2023;5;2023-05;1685;4063100.681
2023;5;2023-05;2025;5936176.515
2023;5;2023-05;2140;5344976.788
2023;5;2023-05;2230;954627.417
2023;5;2023-05;2330;5548120.137
2023;5;2023-05;2425;8625106.869
2023;5;2023-05;2445;6845953.614
2023;5;2023-05;2480;10317064.41
2023;5;2023-05;2540;3185476.066
2023;5;2023-05;2605;4951425.756
2023;5;2023-05;2620;5487153.435
2023;5;2023-05;2630;2993661.044
2023;5;2023-05;2635;12861312.118
2023;5;2023-05;2650;7386159.898
2023;5;2023-05;2655;3795982.327
2023;5;2023-05;2665;9943627.451
2023;5;2023-05;2670;13318369.387
2023;5;2023-05;2675;10159755.954
2023;5;2023-05;2690;5376622.518
2023;5;2023-05;2695;6211485.96
2023;5;2023-05;2700;18640214.743
2023;5;2023-05;2705;9127986.991
2023;5;2023-05;2730;4367536.138
2023;5;2023-05;2740;7791421.921
2023;5;2023-05;2750;13634785.86
2023;5;2023-05;2755;2444241.527
2023;5;2023-05;2760;1115851.593
2023;5;2023-05;2780;8077038.001
2023;5;2023-05;2785;9489993.335
2023;5;2023-05;2795;3458658.665
2023;5;2023-05;2805;4403810.709
2023;5;2023-05;2810;9305868.779
2023;5;2023-05;2815;1811368.984
2023;5;2023-05;2819;436.0
2023;5;2023-05;2840;70198398.43
2023;5;2023-05;2860;7290762.445
2023;5;2023-05;2870;12167253.859
2023;5;2023-05;2925;5573139.789
2023;5;2023-05;2965;4386249.912
2023;5;2023-05;2985;4156606.654
2023;5;2023-05;3030;10726723.589
2023;5;2023-05;3050;7574788.781
2023;5;2023-05;3130;5638360.068
2023;5;2023-05;3220;1911702.081
2023;5;2023-05;3270;1069311.624
2023;5;2023-05;3300;3856030.378
2023;5;2023-05;3305;700261.009
2023;5;2023-05;3440;2204348.471
2023;5;2023-05;3450;3658043.474
2023;5;2023-05;3475;806132.957
2023;5;2023-05;3570;1270242.519
2023;5;2023-05;3610;1527777.864
2023;5;2023-05;3620;2358549.071
2023;5;2023-05;3640;1341831.914
2023;5;2023-05;3740;2681389.916
2023;5;2023-05;3770;10778962.691
2023;5;2023-05;3830;17326772.251
2023;5;2023-05;3840;7880791.61
2023;5;2023-05;3850;15420647.223
2023;5;2023-05;3860;53848462.365
2023;5;2023-05;3865;3298457.443
2023;5;2023-05;3870;2699732.137
2023;5;2023-05;4000;13474922.986
2023;5;2023-05;4099;9260.282
2023;5;2023-05;4300;7761884.48
2023;5;2023-05;4425;16249108.257
2023;5;2023-05;4430;17891758.461
2023;5;2023-05;4435;12212823.298
2023;5;2023-05;4460;14820061.841
2023;5;2023-05;4485;17287520.257
2023;5;2023-05;4490;8493484.428
2023;5;2023-05;4515;3472318.426
2023;5;2023-05;4520;18332263.891
2023;5;2023-05;4580;9782332.144
2023;5;2023-05;4615;3307010.481
2023;5;2023-05;4625;2247532.431
2023;5;2023-05;4630;4203678.379
2023;5;2023-05;4635;2187998.457
2023;5;2023-05;4650;3768000.508
2023;5;2023-05;4705;14406367.453
2023;5;2023-05;4710;12567052.802
2023;5;2023-05;4740;10680646.194
2023;5;2023-05;4750;18139656.711
2023;5;2023-05;4770;18946055.786
2023;5;2023-05;4820;12172327.241
2023;5;2023-05;4850;3308132.129
2023;5;2023-05;4925;5261363.83
2023;5;2023-05;4940;2194625.634
2023;5;2023-05;4960;1702324.906
2023;5;2023-05;5050;2780230.09
2023;5;2023-05;5060;1065213.678
2023;5;2023-05;5130;1291066.035
2023;5;2023-05;5155;431186.603
2023;5;2023-05;5320;1016372.55
2023;5;2023-05;5340;2897178.042
2023;5;2023-05;5385;472138.26
2023;5;2023-05;5400;7853093.458
2023;5;2023-05;5450;3223793.254
2023;5;2023-05;6005;2478488.385
2023;5;2023-05;6030;10026134.479
2023;5;2023-05;6040;750594.563
2023;5;2023-05;6060;2652967.119
2023;5;2023-05;6185;285810.967
2023;5;2023-05;6225;1418160.286
2023;5;2023-05;6230;7094826.722
2023;5;2023-05;6250;1152862.492
2023;5;2023-05;6270;4769966.363
2023;5;2023-05;6290;2547189.156
2023;5;2023-05;6320;2255447.812
2023;5;2023-05;6370;893259.632
2023;5;2023-05;6400;1675803.43
2023;5;2023-05;6430;863030.389
2023;5;2023-05;6440;1047696.317
2023;5;2023-05;7100;3751133.842
2023;5;2023-05;7150;1770173.791
2023;5;2023-05;7250;1279370.627
2023;5;2023-05;7300;9166140.164
2023;5;2023-05;7320;1275947.885
2023;5;2023-05;7350;5533289.059
2023;5;2023-05;7370;4691271.04
2023;5;2023-05;7400;3722980.375
2023;5;2023-05;7425;1019437.807
2023;5;2023-05;7440;835551.02
2023;5;2023-05;7470;1734012.781
2023;5;2023-05;7490;1226725.958
2023;5;2023-05;7500;1952491.455
2023;5;2023-05;7520;71660371.511
2023;5;2023-05;7555;1027582.243
2023;5;2023-05;7565;3195833.38
2023;5;2023-05;7570;6592613.026
2023;5;2023-05;7580;5642291.657
2023;5;2023-05;7600;19839405.672
2023;5;2023-05;7630;5949748.662
2023;5;2023-05;7665;605733.236
2023;5;2023-05;7780;26778194.872
2023;5;2023-05;7885;793966.405
2023;5;2023-05;7940;1508707.759
2023;5;2023-05;8300;3735372.787
2023;5;2023-05;8400;11825068.046
2023;5;2023-05;8650;2831194.693
2023;5;2023-05;8900;6381518.673
2023;5;2023-05;8950;3955046.546
2023;6;2023-06;1000;11104786.487
2023;6;2023-06;1150;9279262.224
2023;6;2023-06;1200;16863323.985
2023;6;2023-06;1250;13021698.234
2023;6;2023-06;1349;45151.096
2023;6;2023-06;1500;24586305.922
2023;6;2023-06;1685;4001088.398
2023;6;2023-06;1700;20005529.082
2023;6;2023-06;1950;8305839.997
2023;6;2023-06;2005;12647129.626
2023;6;2023-06;2040;13555089.296
2023;6;2023-06;2050;11677001.786
2023;6;2023-06;2070;8194438.195
2023;6;2023-06;2090;4037501.726
2023;6;2023-06;2125;3168005.444
2023;6;2023-06;2130;5627159.65
2023;6;2023-06;2135;6602722.737
2023;6;2023-06;2150;3417590.436
2023;6;2023-06;2200;5857306.251
2023;6;2023-06;2260;1451727.429
2023;6;2023-06;2330;5514535.99
2023;6;2023-06;2350;21249475.361
2023;6;2023-06;2405;10288592.513
2023;6;2023-06;2415;9367161.812
2023;6;2023-06;2440;4345823.898
2023;6;2023-06;2450;6396076.499
2023;6;2023-06;2495;8985800.564
2023;6;2023-06;2520;5585398.547
2023;6;2023-06;2530;6393449.987
2023;6;2023-06;2540;3193517.194
2023;6;2023-06;2565;8929019.499
2023;6;2023-06;2610;6772996.232
2023;6;2023-06;2620;5403091.08
2023;6;2023-06;2645;8024670.781
2023;6;2023-06;2650;7497428.214
2023;6;2023-06;2660;14156740.907
2023;6;2023-06;2665;9723130.45
2023;6;2023-06;2675;10412245.934
2023;6;2023-06;2710;11569097.356
2023;6;2023-06;2715;6985198.703
2023;6;2023-06;2725;11128889.536
2023;6;2023-06;2730;4375491.663
2023;6;2023-06;2740;7796408.203
2023;6;2023-06;2780;8104141.106
2023;6;2023-06;2790;13046635.714
2023;6;2023-06;2795;3411529.065
2023;6;2023-06;2820;6461493.45
2023;6;2023-06;2830;13442538.312
2023;6;2023-06;2835;6731026.603
2023;6;2023-06;2840;68079011.05
2023;6;2023-06;2855;8602641.659
2023;6;2023-06;2860;7514741.389
2023;6;2023-06;2870;12582346.97
2023;6;2023-06;2890;7198867.403
2023;6;2023-06;2900;19253532.369
2023;6;2023-06;2910;70137216.081
2023;6;2023-06;2985;4511525.781
2023;6;2023-06;3004;16.806
2023;6;2023-06;3040;6984437.011
2023;6;2023-06;3045;4305133.878
2023;6;2023-06;3050;7673080.318
2023;6;2023-06;3060;16566939.207
2023;6;2023-06;3090;67440722.722
2023;6;2023-06;3130;5472016.852
2023;6;2023-06;3140;4675318.357
2023;6;2023-06;3200;4127244.625
2023;6;2023-06;3240;2613825.162
2023;6;2023-06;3270;1061829.029
2023;6;2023-06;3305;703598.519
2023;6;2023-06;3320;894878.533
2023;6;2023-06;3330;743075.333
2023;6;2023-06;3350;1756471.976
2023;6;2023-06;3360;2995808.114
2023;6;2023-06;3405;1190959.151
2023;6;2023-06;3420;2594714.15
2023;6;2023-06;3450;3554326.051
2023;6;2023-06;3465;4050205.688
2023;6;2023-06;3475;775628.587
2023;6;2023-06;3505;5069378.514
2023;6;2023-06;3510;6511007.472
2023;6;2023-06;3514;6746.032
2023;6;2023-06;3515;3081990.286
2023;6;2023-06;3640;1319594.465
2023;6;2023-06;3650;914349.178
2023;6;2023-06;3670;2098148.75
2023;6;2023-06;3680;4040559.947
2023;6;2023-06;3700;18168044.434
2023;6;2023-06;3730;7984754.136
2023;6;2023-06;3750;23420959.976
2023;6;2023-06;4000;13615397.114
2023;6;2023-06;4099;9249.184
2023;6;2023-06;4250;8890049.609
2023;6;2023-06;4410;11762928.187
2023;6;2023-06;4430;17757548.884
2023;6;2023-06;4435;11978860.773
2023;6;2023-06;4440;9739263.456
2023;6;2023-06;4455;6511961.769
2023;6;2023-06;4495;2704115.062
2023;6;2023-06;4550;3565238.561
2023;6;2023-06;4560;12159730.22
2023;6;2023-06;4570;4201996.747
2023;6;2023-06;4580;9766610.346
2023;6;2023-06;4585;9047649.29
2023;6;2023-06;4595;8343005.981
2023;6;2023-06;4660;1784397.784
2023;6;2023-06;4690;2707614.202
2023;6;2023-06;4720;3670511.843
2023;6;2023-06;4730;9893589.481
2023;6;2023-06;4755;10706286.582
2023;6;2023-06;4760;43419564.558
2023;6;2023-06;4770;18443230.721
2023;6;2023-06;4775;3726173.96
2023;6;2023-06;4810;7004932.512
2023;6;2023-06;4815;14321899.588
2023;6;2023-06;4820;12592831.944
2023;6;2023-06;4825;6038149.634
2023;6;2023-06;4840;827231.218
2023;6;2023-06;4845;742557.879
2023;6;2023-06;4905;24878718.577
2023;6;2023-06;4920;4965563.779
2023;6;2023-06;4950;5154795.852
2023;6;2023-06;4970;7935017.333
2023;6;2023-06;4980;2006422.835
2023;6;2023-06;4990;8969164.142
2023;6;2023-06;5070;1843782.434
2023;6;2023-06;5090;950432.735
2023;6;2023-06;5120;863457.685
2023;6;2023-06;5130;1308736.579
2023;6;2023-06;5140;1009847.022
2023;6;2023-06;5150;1057551.558
2023;6;2023-06;5200;1934961.385
2023;6;2023-06;5210;1079429.144
2023;6;2023-06;5225;803768.873
2023;6;2023-06;5350;811644.606
2023;6;2023-06;5385;465516.111
2023;6;2023-06;5445;649961.657
2023;6;2023-06;5460;1451465.416
2023;6;2023-06;6050;1343613.996
2023;6;2023-06;6100;4359234.378
2023;6;2023-06;6215;1627927.739
2023;6;2023-06;6260;676407.744
2023;6;2023-06;6355;831709.733
